offspring_id,stream_off,year_off,origin_off,sex_off,date_off,DOY_off,length_off,distance_mouth_off,intertidal_off,distance_tide_off,otolith_mark_present_off,otolith_mark_id_off,silly_off,fish_id_off,sample_off,dna_tray_code_off,dna_tray_well_code_off,stream_trib_off,spawning_state_off,pre_spawn_off,partial_spawn_off,preyed_upon_off,riverdist_seg_off,riverdist_vert_off,riverdist_snapdist_off,latitude_off,longitude_off,high_tide_off,mating_id,parent_id_sire,parent_id_dam,stream_sire,stream_dam,year_sire,year_dam,origin_sire,origin_dam,sex_sire,sex_dam,date_sire,date_dam,DOY_sire,DOY_dam,length_sire,length_dam,distance_mouth_sire,distance_mouth_dam,intertidal_sire,intertidal_dam,distance_tide_sire,distance_tide_dam,otolith_mark_present_sire,otolith_mark_present_dam,otolith_mark_id_sire,otolith_mark_id_dam,silly_sire,silly_dam,fish_id_sire,fish_id_dam,sample_sire,sample_dam,dna_tray_code_sire,dna_tray_code_dam,dna_tray_well_code_sire,dna_tray_well_code_dam,stream_trib_sire,stream_trib_dam,spawning_state_sire,spawning_state_dam,pre_spawn_sire,pre_spawn_dam,partial_spawn_sire,partial_spawn_dam,preyed_upon_sire,preyed_upon_dam,riverdist_seg_sire,riverdist_seg_dam,riverdist_vert_sire,riverdist_vert_dam,riverdist_snapdist_sire,riverdist_snapdist_dam,latitude_sire,latitude_dam,longitude_sire,longitude_dam,high_tide_sire,high_tide_dam,cross_type
PE16_00021,Erb,2016,Natural,Female,2016-08-16,229,436,0,Intertidal,-198.43027903187576,NO,NA,PERB16,21,0000014303_21,0000014303,21,Erb C,Grey Gill,FALSE,FALSE,FALSE,1,897,84.33472957953616,60.3785061123667,-148.148738394551,198.43027903187576,PE14_00355_PE14_00686,PE14_00686,PE14_00355,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-24,2014-08-20,236,232,376,414,0,196.4302790318247,Intertidal,Intertidal,-198.43027903187576,-2.0000000000510454,NO,NO,NA,NA,PERB14,PERB14,686,355,1400000902_36,1400000892_8,1400000902,1400000892,36,8,Erb C,Erb C,Grey Gill,Unknown,NA,NA,NA,NA,NA,NA,1,1,897,699,40.45382217225213,1.0473061929218708,60.377561714816494,60.3769763462356,-148.14872953919502,-148.151939034775,198.43027903187576,198.43027903187576,NN
PE16_00033,Erb,2016,Natural,Male,2016-08-16,229,462,0,Intertidal,-198.43027903187576,NO,NA,PERB16,33,0000014303_33,0000014303,33,Erb C,Grey Gill,FALSE,FALSE,FALSE,1,897,84.33472957953616,60.3785061123667,-148.148738394551,198.43027903187576,PE14_00838_PE14_00491,PE14_00491,PE14_00838,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-21,2014-08-26,233,238,455,452,115.85867032172088,124.85867032167982,Intertidal,Intertidal,-82.57160871015492,-73.57160871019596,NO,NO,NA,NA,PERB14,PERB14,491,838,1400000895_33,1400000907_44,1400000895,1400000907,33,44,Erb C,Erb C,Rotting,Pink Gill,NA,NA,NA,NA,NA,NA,1,1,781,772,1.8946537407199584,0.4562475236311191,60.3770556127354,60.37700665460449,-148.15074623088998,-148.15088876220898,198.43027903187576,198.43027903187576,NN
PE16_00090,Erb,2016,Natural,Female,2016-08-20,233,420,117.8586703216431,Intertidal,-80.57160871023268,NO,NA,PERB16,90,0000014335_42,0000014335,42,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,779,3.743090819496385,60.377079079384,-148.150843466068,198.43027903187576,PE14_00099_PE14_00287,PE14_00287,PE14_00099,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-18,2014-08-14,230,226,439,NA,78.85867032151077,64.85867032169051,Intertidal,Intertidal,-119.571608710365,-133.57160871018527,NO,NO,NA,NA,PERB14,PERB14,287,99,1400000889_36,1400000885_30,1400000889,1400000885,36,30,Erb C,Erb C,Grey Gill,Grey Gill,NA,NA,NA,NA,NA,NA,1,1,818,832,12.650034173462997,46.02302337717146,60.3773814012013,60.37768358772951,-148.150458635201,-148.15070286334202,198.43027903187576,198.43027903187576,NN
PE16_00142,Erb,2016,Natural,Male,2016-08-24,237,484,0,Intertidal,-198.43027903187576,NO,NA,PERB16,142,0000014372_46,0000014372,46,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,897,11.027047460863956,60.377837,-148.149095,198.43027903187576,PE14_00254_PE14_00494,PE14_00494,PE14_00254,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-21,2014-08-18,233,230,NA,424,115.85867032172088,78.85867032151077,Intertidal,Intertidal,-82.57160871015492,-119.571608710365,NO,NO,NA,NA,PERB14,PERB14,494,254,1400000895_36,1400000889_3,1400000895,1400000889,36,3,Erb C,Erb C,Rotting,Alive,NA,NA,NA,NA,NA,NA,1,1,781,818,1.8946537407199584,12.650034173462997,60.3770556127354,60.3773814012013,-148.15074623088998,-148.150458635201,198.43027903187576,198.43027903187576,NN
PE16_00173,Erb,2016,Natural,Female,2016-08-26,239,397,286.4153228372892,Upstream,87.9850438054134,NO,NA,PERB16,173,0000014401_29,0000014401,29,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,608,0.574132489690297,60.3767773121469,-148.153371146121,198.43027903187576,PE14_00829_PE14_00270,PE14_00270,PE14_00829,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-18,2014-08-26,230,238,455,416,78.85867032151077,124.85867032167982,Intertidal,Intertidal,-119.571608710365,-73.57160871019596,NO,NO,NA,NA,PERB14,PERB14,270,829,1400000889_19,1400000907_35,1400000889,1400000907,19,35,Erb C,Erb C,Grey Gill,Pink Gill,NA,NA,NA,NA,NA,NA,1,1,818,772,12.650034173462997,0.4562475236311191,60.3773814012013,60.37700665460449,-148.150458635201,-148.15088876220898,198.43027903187576,198.43027903187576,NN
PE16_00174,Erb,2016,Natural,Female,2016-08-26,239,414,286.4153228372892,Upstream,87.9850438054134,NO,NA,PERB16,174,0000014401_30,0000014401,30,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,608,0.574132489690297,60.3767773121469,-148.153371146121,198.43027903187576,PE14_01284_PE14_00371,PE14_00371,PE14_01284,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-21,2014-08-31,233,243,455,434,115.85867032172088,173.90945332671402,Intertidal,Intertidal,-82.57160871015492,-24.52082570516177,NO,NO,NA,NA,PERB14,PERB14,371,1284,1400000893_9,1400000925_36,1400000893,1400000925,9,36,Erb C,Erb C,Pink Gill,Alive,NA,NA,NA,NA,NA,NA,1,1,781,722,1.8946537407199584,6.619457614228602,60.3770556127354,60.3768036893302,-148.15074623088998,-148.15166639956198,198.43027903187576,198.43027903187576,NN
PE16_00186,Erb,2016,Natural,Female,2016-08-26,239,400,286.4153228372892,Upstream,87.9850438054134,NO,NA,PERB16,186,0000014401_42,0000014401,42,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,608,0.574132489690297,60.3767773121469,-148.153371146121,198.43027903187576,PE14_00829_PE14_00302,PE14_00302,PE14_00829,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-20,2014-08-26,232,238,393,416,310.41532283729623,124.85867032167982,Upstream,Intertidal,111.98504380542045,-73.57160871019596,NO,NO,NA,NA,PERB14,PERB14,302,829,1400000891_3,1400000907_35,1400000891,1400000907,3,35,Erb C,Erb C,Pink Gill,Pink Gill,NA,NA,NA,NA,NA,NA,1,1,584,772,12.686867701641756,0.4562475236311191,60.3767710895574,60.37700665460449,-148.153864014432,-148.15088876220898,198.43027903187576,198.43027903187576,NN
PE16_00192,Erb,2016,Natural,Female,2016-08-26,239,416,286.4153228372892,Upstream,87.9850438054134,NO,NA,PERB16,192,0000014401_48,0000014401,48,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,608,0.574132489690297,60.3767773121469,-148.153371146121,198.43027903187576,PE14_00354_PE14_00465,PE14_00465,PE14_00354,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-21,2014-08-20,233,232,392,NA,115.85867032172088,196.4302790318247,Intertidal,Intertidal,-82.57160871015492,-2.0000000000510454,NO,NO,NA,NA,PERB14,PERB14,465,354,1400000895_7,1400000892_7,1400000895,1400000892,7,7,Erb C,Erb C,Rotting,Grey Gill,NA,NA,NA,NA,NA,NA,1,1,781,699,1.8946537407199584,1.0473061929218708,60.3770556127354,60.3769763462356,-148.15074623088998,-148.151939034775,198.43027903187576,198.43027903187576,NN
PE16_00193,Erb,2016,Natural,Male,2016-08-30,243,495,0,Intertidal,-198.43027903187576,NO,NA,PERB16,193,0000014447_1,0000014447,1,Erb C,Grey Gill,FALSE,TRUE,FALSE,1,897,126.99917201924592,60.37890595,-148.1498135,198.43027903187576,PE14_01663_PE14_01215,PE14_01215,PE14_01663,Erb,Erb,2014,2014,Hatchery,Natural,Male,Female,2014-08-31,2014-09-04,243,247,395,425,76.85867032158865,83.85867032158808,Intertidal,Intertidal,-121.57160871028714,-114.5716087102877,YES,NO,WNH12PINKB,NA,PERB14,PERB14,1215,1663,1400000924_15,1400000943_45,1400000924,1400000943,15,45,Erb C,Erb C,Grey Gill,Pink Gill,NA,NA,NA,NA,NA,NA,1,1,820,813,14.027225041850928,5.172092083089605,60.3774031858545,60.3772994422236,-148.15044980475102,-148.15043220856998,198.43027903187576,198.43027903187576,NH
PE16_00198,Erb,2016,Natural,Female,2016-08-30,243,465,0,Intertidal,-198.43027903187576,NO,NA,PERB16,198,0000014447_6,0000014447,6,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,897,126.99917201924592,60.37890595,-148.1498135,198.43027903187576,PE14_00983_PE14_00596,PE14_00596,PE14_00983,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-23,2014-08-27,235,239,404,425,78.85867032151077,0,Intertidal,Intertidal,-119.571608710365,-198.43027903187576,NO,NO,NA,NA,PERB14,PERB14,596,983,1400000900_42,1400000913_11,1400000900,1400000913,42,11,Erb C,Erb C,Pink Gill,Grey Gill,NA,NA,NA,NA,NA,NA,1,1,818,897,7.926932248942419,39.524341642675125,60.377351591176094,60.3775486378716,-148.15039775793298,-148.148778066435,198.43027903187576,198.43027903187576,NN
