Response,Model,K,LL,AICc,deltaAIC,wAIC
sire location (river meters),distance_mouth_dam + stream_off + distance_mouth_dam:stream_off + 1,9,-4139.36,8297.00,0.00,0.81
sire location (river meters),distance_mouth_dam + stream_off + 1,6,-4143.86,8299.84,2.84,0.19
sire location (river meters),stream_off + 1,5,-4190.81,8391.71,94.71,0.00
sire location (river meters),distance_mouth_dam + 1,3,-4195.08,8396.20,99.20,0.00
sire location (river meters),1,2,-4370.95,8745.91,448.91,0.00
offspring lcoation (river meters),distance_mouth_par + DOY_off + length_off + sex_off + stream_off + distance_mouth_par:stream_off + 1,12,-28684.87,57393.82,0.00,0.60
offspring lcoation (river meters),distance_mouth_par + DOY_off + length_off + sex_off + stream_off + 1,9,-28689.03,57396.10,2.29,0.19
offspring lcoation (river meters),distance_mouth_par + DOY_off + sex_off + stream_off + distance_mouth_par:stream_off + 1,11,-28687.17,57396.40,2.59,0.16
offspring lcoation (river meters),distance_mouth_par + DOY_off + sex_off + stream_off + 1,8,-28691.47,57398.97,5.15,0.05
offspring lcoation (river meters),distance_mouth_par + DOY_off + length_off + stream_off + distance_mouth_par:stream_off + 1,11,-28692.82,57407.69,13.88,0.00
offspring lcoation (river meters),distance_mouth_par + DOY_off + length_off + stream_off + 1,8,-28696.91,57409.85,16.04,0.00
offspring lcoation (river meters),distance_mouth_par + DOY_off + stream_off + distance_mouth_par:stream_off + 1,10,-28695.44,57410.93,17.11,0.00
offspring lcoation (river meters),distance_mouth_par + DOY_off + stream_off + 1,7,-28699.67,57413.36,19.54,0.00
offspring lcoation (river meters),distance_mouth_par + length_off + sex_off + stream_off + distance_mouth_par:stream_off + 1,11,-28714.32,57450.71,56.89,0.00
offspring lcoation (river meters),distance_mouth_par + sex_off + stream_off + distance_mouth_par:stream_off + 1,10,-28715.98,57452.01,58.19,0.00
offspring lcoation (river meters),distance_mouth_par + length_off + sex_off + stream_off + 1,8,-28718.66,57453.35,59.53,0.00
offspring lcoation (river meters),distance_mouth_par + sex_off + stream_off + 1,7,-28720.46,57454.95,61.14,0.00
offspring lcoation (river meters),distance_mouth_par + length_off + stream_off + distance_mouth_par:stream_off + 1,10,-28724.08,57468.22,74.40,0.00
offspring lcoation (river meters),distance_mouth_par + stream_off + distance_mouth_par:stream_off + 1,9,-28726.02,57470.09,76.27,0.00
offspring lcoation (river meters),distance_mouth_par + length_off + stream_off + 1,7,-28728.36,57470.75,76.94,0.00
offspring lcoation (river meters),distance_mouth_par + stream_off + 1,6,-28730.46,57472.93,79.12,0.00
offspring lcoation (river meters),DOY_off + length_off + sex_off + stream_off + 1,8,-28791.97,57599.97,206.15,0.00
offspring lcoation (river meters),DOY_off + sex_off + stream_off + 1,7,-28794.32,57602.67,208.85,0.00
offspring lcoation (river meters),DOY_off + length_off + stream_off + 1,7,-28799.40,57612.83,219.02,0.00
offspring lcoation (river meters),DOY_off + stream_off + 1,6,-28802.06,57616.14,222.33,0.00
offspring lcoation (river meters),length_off + sex_off + stream_off + 1,7,-28821.56,57657.15,263.34,0.00
offspring lcoation (river meters),sex_off + stream_off + 1,6,-28823.30,57658.62,264.80,0.00
offspring lcoation (river meters),length_off + stream_off + 1,6,-28830.78,57673.57,279.76,0.00
offspring lcoation (river meters),stream_off + 1,5,-28832.79,57675.59,281.77,0.00
offspring lcoation (river meters),distance_mouth_par + DOY_off + sex_off + 1,5,-28914.30,57838.62,444.81,0.00
offspring lcoation (river meters),distance_mouth_par + DOY_off + length_off + sex_off + 1,6,-28914.25,57840.53,446.71,0.00
offspring lcoation (river meters),distance_mouth_par + DOY_off + 1,4,-28920.50,57849.01,455.19,0.00
offspring lcoation (river meters),distance_mouth_par + DOY_off + length_off + 1,5,-28920.40,57850.82,457.00,0.00
offspring lcoation (river meters),distance_mouth_par + sex_off + 1,4,-28994.31,57996.62,602.81,0.00
