Response,Model,K,LL,AICc,deltaAIC,wAIC
sire location (river meters),dam location + stream + dam location:stream,9,-4139.36,8297.00,0.00,0.81
sire location (river meters),dam location + stream,6,-4143.86,8299.84,2.84,0.19
sire location (river meters),stream,5,-4190.81,8391.71,94.71,0.00
sire location (river meters),dam location,3,-4195.08,8396.20,99.20,0.00
sire location (river meters),1,2,-4370.95,8745.91,448.91,0.00
offspring location (river meters),parent location + DOY + length_off + sex + stream + parent location:stream,12,-35645.74,71315.53,0.00,0.40
offspring location (river meters),parent location + DOY + sex + stream + parent location:stream,11,-35646.94,71315.93,0.40,0.33
offspring location (river meters),parent location + DOY + length_off + sex + stream,9,-35649.69,71317.41,1.88,0.16
offspring location (river meters),parent location + DOY + sex + stream,8,-35650.92,71317.87,2.34,0.12
offspring location (river meters),parent location + DOY + length_off + stream + parent location:stream,11,-35658.07,71338.20,22.67,0.00
offspring location (river meters),parent location + DOY + stream + parent location:stream,10,-35659.43,71338.90,23.37,0.00
offspring location (river meters),parent location + DOY + length_off + stream,8,-35662.01,71340.05,24.52,0.00
offspring location (river meters),parent location + DOY + stream,7,-35663.40,71340.82,25.29,0.00
offspring location (river meters),parent location + sex + stream + parent location:stream,10,-35677.82,71375.68,60.15,0.00
offspring location (river meters),parent location + length_off + sex + stream + parent location:stream,11,-35676.86,71375.77,60.24,0.00
offspring location (river meters),parent location + length_off + sex + stream,8,-35680.88,71377.78,62.25,0.00
offspring location (river meters),parent location + sex + stream,7,-35681.89,71377.80,62.27,0.00
offspring location (river meters),parent location + length_off + stream + parent location:stream,10,-35691.16,71402.36,86.83,0.00
offspring location (river meters),parent location + stream + parent location:stream,9,-35692.26,71402.56,87.03,0.00
offspring location (river meters),parent location + length_off + stream,7,-35695.20,71404.41,88.88,0.00
offspring location (river meters),parent location + stream,6,-35696.35,71404.72,89.19,0.00
offspring location (river meters),DOY + length_off + sex + stream,8,-35775.43,71566.89,251.36,0.00
offspring location (river meters),DOY + sex + stream,7,-35776.57,71567.16,251.63,0.00
offspring location (river meters),DOY + length_off + stream,7,-35787.39,71588.79,273.26,0.00
offspring location (river meters),DOY + stream,6,-35788.67,71589.35,273.82,0.00
offspring location (river meters),sex + stream,6,-35806.96,71625.93,310.40,0.00
offspring location (river meters),length_off + sex + stream,7,-35806.03,71626.09,310.56,0.00
offspring location (river meters),length_off + stream,6,-35819.94,71651.89,336.36,0.00
offspring location (river meters),stream,5,-35821.00,71652.01,336.48,0.00
offspring location (river meters),parent location + DOY + sex,5,-35979.27,71968.56,653.03,0.00
offspring location (river meters),parent location + DOY + length_off + sex,6,-35979.05,71970.11,654.58,0.00
offspring location (river meters),parent location + DOY,4,-35986.82,71981.65,666.12,0.00
offspring location (river meters),parent location + DOY + length_off,5,-35986.65,71983.31,667.78,0.00
offspring location (river meters),parent location + sex,4,-36080.08,72168.16,852.63,0.00
offspring location (river meters),parent location + length_off + sex,5,-36079.58,72169.17,853.64,0.00
offspring location (river meters),parent location,3,-36089.59,72185.18,869.65,0.00
offspring location (river meters),parent location + length_off,4,-36089.18,72186.36,870.83,0.00
offspring location (river meters),DOY + length_off + sex,5,-36733.31,73476.63,2161.10,0.00
offspring location (river meters),DOY + length_off,4,-36736.64,73481.29,2165.76,0.00
offspring location (river meters),DOY + sex,4,-36739.53,73487.07,2171.54,0.00
offspring location (river meters),DOY,3,-36742.65,73491.31,2175.78,0.00
offspring location (river meters),length_off + sex,4,-36937.32,73882.65,2567.12,0.00
offspring location (river meters),length_off,3,-36942.40,73890.81,2575.28,0.00
offspring location (river meters),sex,3,-36946.28,73898.57,2583.04,0.00
offspring location (river meters),1,2,-36951.07,73906.13,2590.60,0.00
Offspring environment (intertidal or upstream),parent location + DOY + parent environment + sex + stream + parent location:stream,11,-2319.37,4660.78,0.00,0.47
Offspring environment (intertidal or upstream),parent location + DOY + parent environment + sex + stream + parent location:stream + parent environment:stream,14,-2317.06,4662.20,1.42,0.23
Offspring environment (intertidal or upstream),parent location + DOY + parent environment + length_off + sex + stream + parent location:stream,12,-2319.23,4662.52,1.74,0.20
Offspring environment (intertidal or upstream),parent location + DOY + parent environment + length_off + sex + stream + parent location:stream + parent environment:stream,15,-2316.93,4663.95,3.17,0.10
Offspring environment (intertidal or upstream),parent location + parent environment + sex + stream + parent location:stream,10,-2325.97,4671.99,11.20,0.00
Offspring environment (intertidal or upstream),parent location + parent environment + sex + stream + parent location:stream + parent environment:stream,13,-2323.44,4672.94,12.16,0.00
Offspring environment (intertidal or upstream),parent location + parent environment + length_off + sex + stream + parent location:stream,11,-2325.85,4673.74,12.96,0.00
Offspring environment (intertidal or upstream),parent location + DOY + sex + stream + parent location:stream,10,-2327.11,4674.25,13.47,0.00
Offspring environment (intertidal or upstream),parent location + parent environment + length_off + sex + stream + parent location:stream + parent environment:stream,14,-2323.32,4674.71,13.93,0.00
Offspring environment (intertidal or upstream),parent location + DOY + length_off + sex + stream + parent location:stream,11,-2326.95,4675.94,15.16,0.00
