"","df","logLik","AICc","delta","weight","Model"
"64",12,-35645.74,71315.53,0,0.4,"distance_mouth_par + DOY_off + length_off + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"60",11,-35646.94,71315.93,0.4,0.33,"distance_mouth_par + DOY_off + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"32",9,-35649.69,71317.41,1.88,0.16,"distance_mouth_par + DOY_off + length_off + sex_off + stream_off + 1"
"28",8,-35650.92,71317.87,2.34,0.12,"distance_mouth_par + DOY_off + sex_off + stream_off + 1"
"56",11,-35658.07,71338.2,22.67,0,"distance_mouth_par + DOY_off + length_off + stream_off + distance_mouth_par:stream_off + 1"
"52",10,-35659.43,71338.9,23.37,0,"distance_mouth_par + DOY_off + stream_off + distance_mouth_par:stream_off + 1"
"24",8,-35662.01,71340.05,24.52,0,"distance_mouth_par + DOY_off + length_off + stream_off + 1"
"20",7,-35663.4,71340.82,25.29,0,"distance_mouth_par + DOY_off + stream_off + 1"
"58",10,-35677.82,71375.68,60.15,0,"distance_mouth_par + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"62",11,-35676.86,71375.77,60.24,0,"distance_mouth_par + length_off + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"30",8,-35680.88,71377.78,62.25,0,"distance_mouth_par + length_off + sex_off + stream_off + 1"
"26",7,-35681.89,71377.8,62.27,0,"distance_mouth_par + sex_off + stream_off + 1"
"54",10,-35691.16,71402.36,86.83,0,"distance_mouth_par + length_off + stream_off + distance_mouth_par:stream_off + 1"
"50",9,-35692.26,71402.56,87.03,0,"distance_mouth_par + stream_off + distance_mouth_par:stream_off + 1"
"22",7,-35695.2,71404.41,88.88,0,"distance_mouth_par + length_off + stream_off + 1"
"18",6,-35696.35,71404.72,89.19,0,"distance_mouth_par + stream_off + 1"
"31",8,-35775.43,71566.89,251.36,0,"DOY_off + length_off + sex_off + stream_off + 1"
"27",7,-35776.57,71567.16,251.63,0,"DOY_off + sex_off + stream_off + 1"
"23",7,-35787.39,71588.79,273.26,0,"DOY_off + length_off + stream_off + 1"
"19",6,-35788.67,71589.35,273.82,0,"DOY_off + stream_off + 1"
"25",6,-35806.96,71625.93,310.4,0,"sex_off + stream_off + 1"
"29",7,-35806.03,71626.09,310.56,0,"length_off + sex_off + stream_off + 1"
"21",6,-35819.94,71651.89,336.36,0,"length_off + stream_off + 1"
"17",5,-35821,71652.01,336.48,0,"stream_off + 1"
"12",5,-35979.27,71968.56,653.03,0,"distance_mouth_par + DOY_off + sex_off + 1"
"16",6,-35979.05,71970.11,654.58,0,"distance_mouth_par + DOY_off + length_off + sex_off + 1"
"4",4,-35986.82,71981.65,666.12,0,"distance_mouth_par + DOY_off + 1"
"8",5,-35986.65,71983.31,667.78,0,"distance_mouth_par + DOY_off + length_off + 1"
"10",4,-36080.08,72168.16,852.63,0,"distance_mouth_par + sex_off + 1"
"14",5,-36079.58,72169.17,853.64,0,"distance_mouth_par + length_off + sex_off + 1"
"2",3,-36089.59,72185.18,869.65,0,"distance_mouth_par + 1"
"6",4,-36089.18,72186.36,870.83,0,"distance_mouth_par + length_off + 1"
"15",5,-36733.31,73476.63,2161.1,0,"DOY_off + length_off + sex_off + 1"
"7",4,-36736.64,73481.29,2165.76,0,"DOY_off + length_off + 1"
"11",4,-36739.53,73487.07,2171.54,0,"DOY_off + sex_off + 1"
"3",3,-36742.65,73491.31,2175.78,0,"DOY_off + 1"
"13",4,-36937.32,73882.65,2567.12,0,"length_off + sex_off + 1"
"5",3,-36942.4,73890.81,2575.28,0,"length_off + 1"
"9",3,-36946.28,73898.57,2583.04,0,"sex_off + 1"
"1",2,-36951.07,73906.13,2590.6,0,"1"
